Invoice Date,Customer Code,Material Code,Total
5/31/2016,856737,143144,5
5/31/2016,856737,143222,18
5/31/2016,100922,143142,13
5/31/2016,100922,143146,3
5/31/2016,100922,143177,3
5/31/2016,100922,143195,2
5/31/2016,100922,143214,4
5/31/2016,100922,192794,3
5/31/2016,100922,197270,5
5/31/2016,100922,220948,6
5/31/2016,100922,436231,6
5/31/2016,103374,143141,2
5/31/2016,103374,143170,12
5/31/2016,103374,187546,24
5/31/2016,103374,187548,29
5/31/2016,103374,187550,11
5/31/2016,103374,220706,9
5/31/2016,103374,220708,12
5/31/2016,103374,436259,10
5/31/2016,103374,436261,12
5/31/2016,103374,436262,9
5/31/2016,114602,143113,3
5/31/2016,114602,180187,3
5/31/2016,114602,197272,7
5/31/2016,114602,220708,2
5/31/2016,114602,221069,3
5/31/2016,114602,221071,8
5/31/2016,114602,507205,6
5/31/2016,114602,507206,5
5/31/2016,115048,220724,21
5/31/2016,115048,436110,25
5/31/2016,115048,436231,4
5/31/2016,117061,180187,9
5/31/2016,117061,180199,8
5/31/2016,117061,186547,12
5/31/2016,117061,187548,9
5/31/2016,117061,187549,9
5/31/2016,117061,187550,12
5/31/2016,117061,220719,12
5/31/2016,117061,220720,13
5/31/2016,117061,220729,9
5/31/2016,117061,436110,14
5/31/2016,117061,436290,9
5/31/2016,122331,220724,5
5/31/2016,122331,220725,9
5/31/2016,122875,186548,10
5/31/2016,122875,220706,6
5/31/2016,122875,220725,3
5/31/2016,122875,221069,2
5/31/2016,122875,222757,9
5/31/2016,122875,306694,4
5/31/2016,128543,180199,27
5/31/2016,128543,187549,26
5/31/2016,128543,192403,11
5/31/2016,128543,192794,19
5/31/2016,128543,192795,3
5/31/2016,128543,195051,30
5/31/2016,128543,228913,15
5/31/2016,128543,436110,16
5/31/2016,128543,436111,11
5/31/2016,160245,186548,6
5/31/2016,160245,442282,6
5/31/2016,162906,220718,8
5/31/2016,162906,220724,5
5/31/2016,162906,222758,6
5/31/2016,162906,231213,16
5/31/2016,162906,231231,31
5/31/2016,165873,143228,5
5/31/2016,165873,143231,6
5/31/2016,165873,222755,6
5/31/2016,165873,222756,3
5/31/2016,165873,436231,18
5/31/2016,813502,186547,18
5/31/2016,813502,187549,13
5/31/2016,813502,220706,10
5/31/2016,813502,220720,18
5/31/2016,813502,442561,15
5/31/2016,817901,143169,12
5/31/2016,817901,143170,15
5/31/2016,817901,180187,35
5/31/2016,817901,180189,6
